URL: /
Timestamp: Thu Oct 20 2022 18:59:26 GMT-0400 (Eastern Daylight Time)

::1 - - [21/Nov/2022:23:32:26 +0000] "PUT /movie_api HTTP/1.1" 404 148 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:35:03 +0000] "GET /movie_api HTTP/1.1" 404 148 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:35:09 +0000] "GET / HTTP/1.1" 200 24 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:35:17 +0000] "GET /documentation HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:36:17 +0000] "GET /books HTTP/1.1" 200 179 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:36:26 +0000] "GET /movies HTTP/1.1" 200 783 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:37:20 +0000] "GET /movies HTTP/1.1" 200 783 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:37:33 +0000] "GET /movies HTTP/1.1" 404 145 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:37:42 +0000] "GET /movie-api/movies HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:37:59 +0000] "GET /movie-api/movies HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:38:11 +0000] "GET /movie-api HTTP/1.1" 404 148 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:38:53 +0000] "GET /movie-api/movies HTTP/1.1" 200 783 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:41:13 +0000] "GET /movie-api/documentation HTTP/1.1" 200 5968 "-" "PostmanRuntime/7.29.2"
::1 - - [21/Nov/2022:23:53:13 +0000] "POST /movie-api/books HTTP/1.1" 404 155 "-" "PostmanRuntime/7.29.2"
